State,Category,Region,Year,Quarter,RegisteredUsers
India,pincodes,110086,2019,1,158267
India,pincodes,560078,2019,1,157977
India,pincodes,395006,2019,1,157558
India,pincodes,560076,2019,1,157367
India,states,maharashtra,2019,2,18776975
India,states,uttar pradesh,2019,2,14316349
India,states,karnataka,2019,2,11968087
India,states,andhra pradesh,2019,2,9389003
India,states,telangana,2019,2,9046007
India,states,rajasthan,2019,2,8783935
India,states,west bengal,2019,2,8612795
India,states,gujarat,2019,2,7574645
India,states,tamil nadu,2019,2,7429609
India,states,madhya pradesh,2019,2,7301172
India,districts,bengaluru urban,2019,2,5694165
India,districts,pune,2019,2,3514081
India,districts,jaipur,2019,2,2290462
India,districts,mumbai suburban,2019,2,2151657
India,districts,thane,2019,2,2118406
India,districts,hyderabad,2019,2,1856926
India,districts,ahmadabad,2019,2,1656341
India,districts,rangareddy,2019,2,1651300
India,districts,medchal malkajgiri,2019,2,1428880
India,districts,surat,2019,2,1338584
India,pincodes,201301,2019,2,336709
India,pincodes,110059,2019,2,274593
India,pincodes,560068,2019,2,263531
India,pincodes,500072,2019,2,242007
India,pincodes,110092,2019,2,228546
India,pincodes,122001,2019,2,217913
India,pincodes,421302,2019,2,182371
India,pincodes,395006,2019,2,180042
India,pincodes,560078,2019,2,178837
India,pincodes,110086,2019,2,177199
India,states,maharashtra,2019,3,21313081
India,states,uttar pradesh,2019,3,16044607
India,states,karnataka,2019,3,13635075
India,states,andhra pradesh,2019,3,10458693
India,states,telangana,2019,3,10090557
India,states,rajasthan,2019,3,9797304
India,states,west bengal,2019,3,9643222
India,states,gujarat,2019,3,8429299
India,states,tamil nadu,2019,3,8428835
India,states,madhya pradesh,2019,3,8180664
India,districts,bengaluru urban,2019,3,6383771
India,districts,pune,2019,3,4004991
India,districts,jaipur,2019,3,2520933
India,districts,mumbai suburban,2019,3,2407754
India,districts,thane,2019,3,2396815
India,districts,hyderabad,2019,3,2071673
India,districts,ahmadabad,2019,3,1848860
India,districts,rangareddy,2019,3,1826019
India,districts,medchal malkajgiri,2019,3,1572320
India,districts,surat,2019,3,1481391
India,pincodes,201301,2019,3,369425
India,pincodes,110059,2019,3,300007
India,pincodes,560068,2019,3,289417
India,pincodes,500072,2019,3,261019
India,pincodes,110092,2019,3,248727
India,pincodes,122001,2019,3,239679
India,pincodes,421302,2019,3,208109
India,pincodes,395006,2019,3,198132
India,pincodes,110086,2019,3,194575
India,pincodes,800001,2019,3,194197
India,states,maharashtra,2019,4,23745297
India,states,uttar pradesh,2019,4,17949542
India,states,karnataka,2019,4,15385416
India,states,andhra pradesh,2019,4,11757883
India,states,telangana,2019,4,11220691
India,states,rajasthan,2019,4,10925031
India,states,west bengal,2019,4,10885058
India,states,tamil nadu,2019,4,9620493
India,states,gujarat,2019,4,9323799
India,states,madhya pradesh,2019,4,9165241
India,districts,bengaluru urban,2019,4,7016836
India,districts,pune,2019,4,4416899
India,districts,jaipur,2019,4,2746860
India,districts,thane,2019,4,2638051
India,districts,mumbai suburban,2019,4,2630360
India,districts,hyderabad,2019,4,2283903
India,districts,ahmadabad,2019,4,2015947
India,districts,rangareddy,2019,4,2001437
India,districts,medchal malkajgiri,2019,4,1714832
India,districts,north twenty four parganas,2019,4,1638605
India,pincodes,201301,2019,4,398548
India,pincodes,110059,2019,4,320535
India,pincodes,560068,2019,4,313673
India,pincodes,500072,2019,4,279498
India,pincodes,110092,2019,4,264380
India,pincodes,122001,2019,4,258880
India,pincodes,421302,2019,4,243170
India,pincodes,560078,2019,4,218317
India,pincodes,395006,2019,4,214322
India,pincodes,560076,2019,4,211683
India,states,maharashtra,2020,1,26168390
India,states,uttar pradesh,2020,1,20136256
India,states,karnataka,2020,1,17016980
India,states,andhra pradesh,2020,1,13022060
India,states,telangana,2020,1,12306860
India,states,rajasthan,2020,1,12142053
India,states,west bengal,2020,1,11960822
India,states,tamil nadu,2020,1,10872368
India,states,gujarat,2020,1,10259843
India,states,madhya pradesh,2020,1,10151371
India,districts,bengaluru urban,2020,1,7564577
India,districts,pune,2020,1,4802397
India,districts,jaipur,2020,1,2966508
India,districts,thane,2020,1,2878073
India,districts,mumbai suburban,2020,1,2843378
India,districts,hyderabad,2020,1,2483843
India,districts,ahmadabad,2020,1,2185983
India,districts,rangareddy,2020,1,2166829
India,districts,medchal malkajgiri,2020,1,1845599
India,districts,north twenty four parganas,2020,1,1789973
India,pincodes,201301,2020,1,425915
India,pincodes,110059,2020,1,342152
India,pincodes,560068,2020,1,334481
India,pincodes,500072,2020,1,296003
India,pincodes,110092,2020,1,280039
India,pincodes,122001,2020,1,277400
India,pincodes,421302,2020,1,270275
India,pincodes,560078,2020,1,234102
India,pincodes,395006,2020,1,230047
India,pincodes,110086,2020,1,226703
India,states,maharashtra,2020,2,28765086
India,states,uttar pradesh,2020,2,22498519
India,states,karnataka,2020,2,18655366
India,states,andhra pradesh,2020,2,14319675
India,states,rajasthan,2020,2,13563201
India,states,telangana,2020,2,13378191
India,states,west bengal,2020,2,13222022
India,states,tamil nadu,2020,2,12150786
India,states,gujarat,2020,2,11392657
India,states,madhya pradesh,2020,2,11374423
India,districts,bengaluru urban,2020,2,8028070
India,districts,pune,2020,2,5144688
India,districts,jaipur,2020,2,3182014
India,districts,thane,2020,2,3135101
India,districts,mumbai suburban,2020,2,3060916
India,districts,hyderabad,2020,2,2653534
India,districts,ahmadabad,2020,2,2384154
India,districts,rangareddy,2020,2,2313748
India,districts,north twenty four parganas,2020,2,1966125
India,districts,medchal malkajgiri,2020,2,1963353
India,pincodes,201301,2020,2,445271
India,pincodes,110059,2020,2,365614
India,pincodes,560068,2020,2,351484
India,pincodes,500072,2020,2,309469
India,pincodes,421302,2020,2,298762
India,pincodes,110092,2020,2,295000
India,pincodes,122001,2020,2,293479
India,pincodes,560078,2020,2,247869
India,pincodes,110086,2020,2,246312
India,pincodes,395006,2020,2,245129
India,states,maharashtra,2020,3,31409513
India,states,uttar pradesh,2020,3,24838116
India,states,karnataka,2020,3,20487550
India,states,andhra pradesh,2020,3,15692405
India,states,rajasthan,2020,3,14969412
India,states,telangana,2020,3,14590882
India,states,west bengal,2020,3,14448366
India,states,tamil nadu,2020,3,13643451
India,states,madhya pradesh,2020,3,12564224
India,states,gujarat,2020,3,12467847
India,districts,bengaluru urban,2020,3,8611452
India,districts,pune,2020,3,5546002
India,districts,jaipur,2020,3,3433167
India,districts,thane,2020,3,3401853
India,districts,mumbai suburban,2020,3,3304696
India,districts,hyderabad,2020,3,2875965
India,districts,ahmadabad,2020,3,2580178
India,districts,rangareddy,2020,3,2495699
India,districts,north twenty four parganas,2020,3,2143943
India,districts,medchal malkajgiri,2020,3,2111567
India,pincodes,201301,2020,3,472490
India,pincodes,110059,2020,3,393571
India,pincodes,560068,2020,3,373446
India,pincodes,421302,2020,3,328833
India,pincodes,500072,2020,3,328018
India,pincodes,110092,2020,3,314384
India,pincodes,122001,2020,3,314031
India,pincodes,110086,2020,3,267186
India,pincodes,560078,2020,3,265627
India,pincodes,121004,2020,3,261230
India,states,maharashtra,2020,4,34432631
India,states,uttar pradesh,2020,4,27249134
India,states,karnataka,2020,4,22400182
India,states,andhra pradesh,2020,4,17076565
India,states,rajasthan,2020,4,16329494
India,states,telangana,2020,4,15927797
India,states,west bengal,2020,4,15662093
India,states,tamil nadu,2020,4,15357586
India,states,madhya pradesh,2020,4,13737947
India,states,gujarat,2020,4,13605203
India,districts,bengaluru urban,2020,4,9286243
India,districts,pune,2020,4,6033615
India,districts,thane,2020,4,3727358
India,districts,jaipur,2020,4,3679874
India,districts,mumbai suburban,2020,4,3609970
India,districts,hyderabad,2020,4,3142385
India,districts,ahmadabad,2020,4,2787991
India,districts,rangareddy,2020,4,2704868
India,districts,north twenty four parganas,2020,4,2321888
India,districts,medchal malkajgiri,2020,4,2282695
India,pincodes,201301,2020,4,504506
India,pincodes,110059,2020,4,423149
India,pincodes,560068,2020,4,399638
India,pincodes,421302,2020,4,365506
India,pincodes,500072,2020,4,350832
India,pincodes,122001,2020,4,336803
India,pincodes,110092,2020,4,335783
India,pincodes,110086,2020,4,288308
India,pincodes,560078,2020,4,285544
India,pincodes,121004,2020,4,283882
India,states,maharashtra,2021,1,37077537
India,states,uttar pradesh,2021,1,29482075
India,states,karnataka,2021,1,24095832
India,states,andhra pradesh,2021,1,18363733
India,states,rajasthan,2021,1,17661088
India,states,telangana,2021,1,17149069
India,states,west bengal,2021,1,16808799
India,states,tamil nadu,2021,1,16632608
India,states,madhya pradesh,2021,1,14839427
India,states,gujarat,2021,1,14670126
India,districts,bengaluru urban,2021,1,9955387
India,districts,pune,2021,1,6481971
India,districts,thane,2021,1,4014464
India,districts,jaipur,2021,1,3951866
India,districts,mumbai suburban,2021,1,3886500
India,districts,hyderabad,2021,1,3379663
India,districts,ahmadabad,2021,1,2999575
India,districts,rangareddy,2021,1,2906635
India,districts,north twenty four parganas,2021,1,2491076
India,districts,surat,2021,1,2458596
India,pincodes,201301,2021,1,541127
India,pincodes,110059,2021,1,454201
India,pincodes,560068,2021,1,427525
India,pincodes,421302,2021,1,396179
India,pincodes,500072,2021,1,375272
India,pincodes,122001,2021,1,361360
India,pincodes,110092,2021,1,359376
India,pincodes,110086,2021,1,310419
India,pincodes,121004,2021,1,306230
India,pincodes,560078,2021,1,305721
India,states,maharashtra,2021,2,39664697
India,states,uttar pradesh,2021,2,31651894
India,states,karnataka,2021,2,25751023
India,states,andhra pradesh,2021,2,19620905
India,states,rajasthan,2021,2,18980985
India,states,telangana,2021,2,18306880
India,states,west bengal,2021,2,17979979
India,states,tamil nadu,2021,2,17804542
India,states,madhya pradesh,2021,2,15940935
India,states,gujarat,2021,2,15735981
India,districts,bengaluru urban,2021,2,10604609
India,districts,pune,2021,2,6915820
India,districts,thane,2021,2,4290066
India,districts,jaipur,2021,2,4226231
India,districts,mumbai suburban,2021,2,4151227
India,districts,hyderabad,2021,2,3598337
India,districts,ahmadabad,2021,2,3209841
India,districts,rangareddy,2021,2,3097973
India,districts,north twenty four parganas,2021,2,2660664
India,districts,surat,2021,2,2633443
India,pincodes,201301,2021,2,577428
India,pincodes,110059,2021,2,485328
India,pincodes,560068,2021,2,455417
India,pincodes,421302,2021,2,424376
India,pincodes,500072,2021,2,398987
India,pincodes,122001,2021,2,385555
India,pincodes,110092,2021,2,383095
India,pincodes,110086,2021,2,332618
India,pincodes,121004,2021,2,328000
India,pincodes,560078,2021,2,325334
India,states,maharashtra,2021,3,42581217
India,states,uttar pradesh,2021,3,34151882
India,states,karnataka,2021,3,27614221
India,states,andhra pradesh,2021,3,21059898
India,states,rajasthan,2021,3,20499465
India,states,telangana,2021,3,19615278
India,states,west bengal,2021,3,19323278
India,states,tamil nadu,2021,3,19127440
India,states,madhya pradesh,2021,3,17210233
India,states,gujarat,2021,3,16946761
India,districts,bengaluru urban,2021,3,11321012
India,districts,pune,2021,3,7398336
India,districts,thane,2021,3,4597394
India,districts,jaipur,2021,3,4534297
India,districts,mumbai suburban,2021,3,4444495
India,districts,hyderabad,2021,3,3839513
India,districts,ahmadabad,2021,3,3445024
India,districts,rangareddy,2021,3,3310906
India,districts,north twenty four parganas,2021,3,2852030
India,districts,surat,2021,3,2830392
India,pincodes,201301,2021,3,618043
India,pincodes,110059,2021,3,520096
India,pincodes,560068,2021,3,486170
India,pincodes,421302,2021,3,456284
India,pincodes,500072,2021,3,425197
India,pincodes,122001,2021,3,412737
India,pincodes,110092,2021,3,409520
India,pincodes,110086,2021,3,357590
India,pincodes,121004,2021,3,352312
India,pincodes,560078,2021,3,346840
India,states,maharashtra,2021,4,45482506
India,states,uttar pradesh,2021,4,36617655
India,states,karnataka,2021,4,29459646
India,states,andhra pradesh,2021,4,22489029
India,states,rajasthan,2021,4,21977202
India,states,telangana,2021,4,20917649
India,states,west bengal,2021,4,20644527
India,states,tamil nadu,2021,4,20433142
India,states,madhya pradesh,2021,4,18456243
India,states,gujarat,2021,4,18139201
India,districts,bengaluru urban,2021,4,12038775
India,districts,pune,2021,4,7880431
India,districts,thane,2021,4,4906492
India,districts,jaipur,2021,4,4841883
India,districts,mumbai suburban,2021,4,4740546
India,districts,hyderabad,2021,4,4081185
India,districts,ahmadabad,2021,4,3679243
India,districts,rangareddy,2021,4,3523496
India,districts,north twenty four parganas,2021,4,3043008
India,districts,surat,2021,4,3026960
India,pincodes,201301,2021,4,659549
India,pincodes,110059,2021,4,555449
India,pincodes,560068,2021,4,517115
India,pincodes,421302,2021,4,488443
India,pincodes,500072,2021,4,451595
India,pincodes,122001,2021,4,440178
India,pincodes,110092,2021,4,436075
India,pincodes,110086,2021,4,382858
India,pincodes,121004,2021,4,376910
India,pincodes,560078,2021,4,368213
India,states,maharashtra,2022,1,48227630
India,states,uttar pradesh,2022,1,38999692
India,states,karnataka,2022,1,31200349
India,states,andhra pradesh,2022,1,23857951
India,states,rajasthan,2022,1,23398857
India,states,telangana,2022,1,22150612
India,states,west bengal,2022,1,21919787
India,states,tamil nadu,2022,1,21667020
India,states,madhya pradesh,2022,1,19656147
India,states,gujarat,2022,1,19265314
India,districts,bengaluru urban,2022,1,12707664
India,districts,pune,2022,1,8331582
India,districts,thane,2022,1,5196050
India,districts,jaipur,2022,1,5133527
India,districts,mumbai suburban,2022,1,5017556
India,districts,hyderabad,2022,1,4306136
India,districts,ahmadabad,2022,1,3897869
India,districts,rangareddy,2022,1,3722676
India,districts,north twenty four parganas,2022,1,3224459
India,districts,surat,2022,1,3210535
India,pincodes,201301,2022,1,698600
India,pincodes,110059,2022,1,588266
India,pincodes,560068,2022,1,545827
India,pincodes,421302,2022,1,518716
India,pincodes,500072,2022,1,476073
India,pincodes,122001,2022,1,465984
India,pincodes,110092,2022,1,460951
India,pincodes,110086,2022,1,406863
India,pincodes,121004,2022,1,400283
India,pincodes,560078,2022,1,388154
India,states,maharashtra,2022,2,50802786
India,states,uttar pradesh,2022,2,41247289
India,states,karnataka,2022,2,32831447
India,states,andhra pradesh,2022,2,25157264
India,states,rajasthan,2022,2,24716181
India,states,telangana,2022,2,23314363
India,states,west bengal,2022,2,23124388
India,states,tamil nadu,2022,2,22829720
India,states,madhya pradesh,2022,2,20766417
India,states,gujarat,2022,2,20321596
India,districts,bengaluru urban,2022,2,13342916
India,districts,pune,2022,2,8757249
India,districts,thane,2022,2,5471749
India,districts,jaipur,2022,2,5409763
India,districts,mumbai suburban,2022,2,5281053
India,districts,hyderabad,2022,2,4519625
India,districts,ahmadabad,2022,2,4105172
India,districts,rangareddy,2022,2,3911372
India,districts,north twenty four parganas,2022,2,3397791
India,districts,surat,2022,2,3385398
India,pincodes,201301,2022,2,735907
India,pincodes,110059,2022,2,619737
India,pincodes,560068,2022,2,573310
India,pincodes,421302,2022,2,547501
India,pincodes,500072,2022,2,499269
India,pincodes,122001,2022,2,490709
India,pincodes,110092,2022,2,484816
India,pincodes,110086,2022,2,429566
India,pincodes,121004,2022,2,422488
India,pincodes,560078,2022,2,407066
India,states,maharashtra,2022,3,53432602
India,states,uttar pradesh,2022,3,43537920
India,states,karnataka,2022,3,34493994
India,states,andhra pradesh,2022,3,26496330
India,states,rajasthan,2022,3,26042948
India,states,telangana,2022,3,24506111
India,states,west bengal,2022,3,24372048
India,states,tamil nadu,2022,3,24019964
India,states,madhya pradesh,2022,3,21884220
India,states,gujarat,2022,3,21394721
India,districts,bengaluru urban,2022,3,13997602
India,districts,pune,2022,3,9194074
India,districts,thane,2022,3,5757165
India,districts,jaipur,2022,3,5696726
India,districts,mumbai suburban,2022,3,5555095
India,districts,hyderabad,2022,3,4739891
India,districts,ahmadabad,2022,3,4319512
India,districts,rangareddy,2022,3,4105107
India,districts,north twenty four parganas,2022,3,3578500
India,districts,surat,2022,3,3567767
India,pincodes,201301,2022,3,774591
India,pincodes,110059,2022,3,652328
India,pincodes,560068,2022,3,601656
India,pincodes,421302,2022,3,577754
India,pincodes,500072,2022,3,523196
India,pincodes,122001,2022,3,516313
India,pincodes,110092,2022,3,509260
India,pincodes,110086,2022,3,453393
India,pincodes,121004,2022,3,445822
India,pincodes,201009,2022,3,428994
India,states,maharashtra,2022,4,55954028
India,states,uttar pradesh,2022,4,45648650
India,states,karnataka,2022,4,36081698
India,states,andhra pradesh,2022,4,27778016
India,states,rajasthan,2022,4,27255927
India,states,telangana,2022,4,25656381
India,states,west bengal,2022,4,25536381
India,states,tamil nadu,2022,4,25136112
India,states,madhya pradesh,2022,4,22913924
India,states,gujarat,2022,4,22412353
India,districts,bengaluru urban,2022,4,14654455
India,districts,pune,2022,4,9622338
India,districts,thane,2022,4,6042267
India,districts,jaipur,2022,4,5975863
India,districts,mumbai suburban,2022,4,5831539
India,districts,hyderabad,2022,4,4962214
India,districts,ahmadabad,2022,4,4530853
India,districts,rangareddy,2022,4,4296707
India,districts,north twenty four parganas,2022,4,3755017
India,districts,surat,2022,4,3747780
India,pincodes,201301,2022,4,814008
India,pincodes,110059,2022,4,685596
India,pincodes,560068,2022,4,630255
India,pincodes,421302,2022,4,608005
India,pincodes,500072,2022,4,547282
India,pincodes,122001,2022,4,542209
India,pincodes,110092,2022,4,534009
India,pincodes,110086,2022,4,477514
India,pincodes,121004,2022,4,468607
India,pincodes,201009,2022,4,451153
India,states,maharashtra,2023,1,58470784
India,states,uttar pradesh,2023,1,47806049
India,states,karnataka,2023,1,37681426
India,states,andhra pradesh,2023,1,29065863
India,states,rajasthan,2023,1,28523031
India,states,telangana,2023,1,26804259
India,states,west bengal,2023,1,26732895
India,states,tamil nadu,2023,1,26270663
India,states,madhya pradesh,2023,1,24002818
India,states,gujarat,2023,1,23436230
India,districts,bengaluru urban,2023,1,15290372
India,districts,pune,2023,1,10037022
India,districts,thane,2023,1,6314618
India,districts,jaipur,2023,1,6247095
India,districts,mumbai suburban,2023,1,6095695
India,districts,hyderabad,2023,1,5176899
India,districts,ahmadabad,2023,1,4734630
India,districts,rangareddy,2023,1,4483193
India,districts,north twenty four parganas,2023,1,3926974
India,districts,surat,2023,1,3919829
India,pincodes,201301,2023,1,851451
India,pincodes,110059,2023,1,716856
India,pincodes,560068,2023,1,658173
India,pincodes,421302,2023,1,636458
India,pincodes,500072,2023,1,570652
India,pincodes,122001,2023,1,566889
India,pincodes,110092,2023,1,557488
India,pincodes,110086,2023,1,500213
India,pincodes,121004,2023,1,490243
India,pincodes,201009,2023,1,472156
India,states,maharashtra,2023,2,60766850
India,states,uttar pradesh,2023,2,49829833
India,states,karnataka,2023,2,39122314
India,states,andhra pradesh,2023,2,30240061
India,states,rajasthan,2023,2,29745609
India,states,west bengal,2023,2,27827662
India,states,telangana,2023,2,27814633
India,states,tamil nadu,2023,2,27317599
India,states,madhya pradesh,2023,2,25042930
India,states,gujarat,2023,2,24396768
India,districts,bengaluru urban,2023,2,15812243
India,districts,pune,2023,2,10396344
India,districts,thane,2023,2,6552282
India,districts,jaipur,2023,2,6490210
India,districts,mumbai suburban,2023,2,6322778
India,districts,hyderabad,2023,2,5349842
India,districts,ahmadabad,2023,2,4913610
India,districts,rangareddy,2023,2,4638501
India,districts,north twenty four parganas,2023,2,4079270
India,districts,surat,2023,2,4076929
India,pincodes,201301,2023,2,883262
India,pincodes,110059,2023,2,744061
India,pincodes,560068,2023,2,680831
India,pincodes,421302,2023,2,662196
India,pincodes,500072,2023,2,589156
India,pincodes,122001,2023,2,587988
India,pincodes,110092,2023,2,577301
India,pincodes,110086,2023,2,520976
India,pincodes,121004,2023,2,509776
India,pincodes,201009,2023,2,490549
India,states,maharashtra,2023,3,63150997
India,states,uttar pradesh,2023,3,51870932
India,states,karnataka,2023,3,40634390
India,states,andhra pradesh,2023,3,31493897
India,states,rajasthan,2023,3,30997182
India,states,west bengal,2023,3,28966414
India,states,telangana,2023,3,28896668
India,states,tamil nadu,2023,3,28405436
India,states,madhya pradesh,2023,3,26109033
India,states,gujarat,2023,3,25383429
India,districts,bengaluru urban,2023,3,16382332
India,districts,pune,2023,3,10780092
India,districts,thane,2023,3,6802106
India,districts,jaipur,2023,3,6745507
India,districts,mumbai suburban,2023,3,6560867
India,districts,hyderabad,2023,3,5543537
India,districts,ahmadabad,2023,3,5105557
India,districts,rangareddy,2023,3,4809474
India,districts,north twenty four parganas,2023,3,4241525
India,districts,surat,2023,3,4238878
India,pincodes,201301,2023,3,916333
India,pincodes,110059,2023,3,772107
India,pincodes,560068,2023,3,703693
India,pincodes,421302,2023,3,688520
India,pincodes,122001,2023,3,609934
India,pincodes,500072,2023,3,609887
India,pincodes,110092,2023,3,598195
India,pincodes,110086,2023,3,540985
India,pincodes,121004,2023,3,529674
India,pincodes,201009,2023,3,509567
India,states,maharashtra,2023,4,65422120
India,states,uttar pradesh,2023,4,53799813
India,states,karnataka,2023,4,42031396
India,states,andhra pradesh,2023,4,32658698
India,states,rajasthan,2023,4,32157348
India,states,west bengal,2023,4,30064546
India,states,telangana,2023,4,29902636
India,states,tamil nadu,2023,4,29452801
India,states,madhya pradesh,2023,4,27078072
India,states,gujarat,2023,4,26312655
India,districts,bengaluru urban,2023,4,16895567
India,districts,pune,2023,4,11135186
India,districts,thane,2023,4,7044610
India,districts,jaipur,2023,4,6983265
India,districts,mumbai suburban,2023,4,6796218
India,districts,hyderabad,2023,4,5720710
India,districts,ahmadabad,2023,4,5282400
India,districts,rangareddy,2023,4,4964411
India,districts,north twenty four parganas,2023,4,4396190
India,districts,surat,2023,4,4396038
India,pincodes,201301,2023,4,948041
India,pincodes,110059,2023,4,798856
India,pincodes,560068,2023,4,727330
India,pincodes,421302,2023,4,714635
India,pincodes,122001,2023,4,630836
India,pincodes,500072,2023,4,628306
India,pincodes,110092,2023,4,617934
India,pincodes,110086,2023,4,561319
India,pincodes,121004,2023,4,549020
India,pincodes,201009,2023,4,527630
India,states,maharashtra,2024,1,68016876
India,states,uttar pradesh,2024,1,56028765
India,states,karnataka,2024,1,43668141
India,states,andhra pradesh,2024,1,34008709
India,states,rajasthan,2024,1,33505514
India,states,west bengal,2024,1,31306843
India,states,telangana,2024,1,31082447
India,states,tamil nadu,2024,1,30638750
India,states,madhya pradesh,2024,1,28238554
India,states,gujarat,2024,1,27381972
India,districts,bengaluru urban,2024,1,17506580
India,districts,pune,2024,1,11546171
India,districts,thane,2024,1,7314981
